index,rank,crowding_dist,K,n_active_features,active_feature_names,f1_TWCV,f2_Connectivity,f3_N_Features,mask_RMS,mask_Kurtosis,mask_Skewness,mask_CrestFactor,mask_PeakToPeak,mask_StdDev,mask_SpectralCentroid
0,0,inf,10,2,Kurtosis|StdDev,83494.6896,8922.7885,2,0.3292,0.7311,0.4288,0.1756,0.2677,0.8645,0.4445
1,0,inf,10,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,65556.1689,3194.8591,7,0.8999,0.5604,0.6486,0.8064,0.6347,0.9420,0.7079
2,0,inf,10,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,56808.0239,3981.8008,7,0.6468,0.6675,0.5222,0.8552,0.7422,0.9140,0.6102
3,0,inf,2,2,RMS|StdDev,327794.9184,0.0000,2,0.9998,0.3300,0.3969,0.3354,0.3401,0.8469,0.4252
4,0,inf,3,2,RMS|StdDev,327794.9184,0.0000,2,0.9998,0.3300,0.3969,0.3354,0.3401,0.8469,0.4252
5,0,0.1536,10,3,Kurtosis|StdDev|SpectralCentroid,70071.0986,6402.6206,3,0.3399,0.6379,0.3307,0.3285,0.2314,0.7960,0.6034
6,0,0.1034,2,2,StdDev|SpectralCentroid,244525.4783,3.0575,2,0.3756,0.4254,0.4330,0.0612,0.3193,0.9349,0.7631
7,0,0.0803,9,2,Kurtosis|StdDev,84520.0820,8541.6155,2,0.3254,0.5905,0.4876,0.0822,0.2329,0.5802,0.3647
8,0,0.0759,9,4,RMS|Kurtosis|Skewness|SpectralCentroid,94342.7365,2057.8262,4,0.8324,0.7880,0.7972,0.2121,0.2519,0.0013,0.6188
9,0,0.0745,3,2,Kurtosis|StdDev,172535.1463,555.7496,2,0.2876,0.6699,0.3301,0.0420,0.4886,0.7468,0.0994
10,0,0.0730,9,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,98718.4110,1671.6944,5,0.9895,0.6760,0.7050,0.4017,0.1493,0.9532,0.7657
11,0,0.0725,9,4,Kurtosis|Skewness|StdDev|SpectralCentroid,83465.0030,2539.4056,4,0.4231,0.6130,0.6468,0.2667,0.1471,0.7882,0.5845
12,0,0.0705,10,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,60101.8187,4037.9091,6,0.0818,0.5892,0.5277,0.8025,0.7408,0.9270,0.6102
13,0,0.0704,9,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,98465.8504,1688.7448,5,0.9895,0.6774,0.7050,0.4017,0.1493,0.9532,0.7657
14,0,0.0696,10,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,57812.2527,4068.4738,6,0.0818,0.6675,0.5277,0.8552,0.7408,0.9270,0.6102
15,0,0.0675,3,3,Kurtosis|StdDev|SpectralCentroid,190959.2839,248.1206,3,0.2593,0.5534,0.2870,0.0077,0.4884,0.8811,0.5708
16,0,0.0318,2,6,RMS|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,243824.7552,3.3746,6,0.6460,0.4349,0.5291,0.7282,0.5593,0.7953,0.5619
17,0,0.0310,2,2,StdDev|SpectralCentroid,218789.9273,6.5345,2,0.2114,0.0002,0.3833,0.1015,0.1991,0.7240,0.5951
18,0,0.0146,9,2,Kurtosis|StdDev,86952.4972,5892.2599,2,0.2059,0.9096,0.4286,0.2265,0.3705,0.7980,0.3183
19,0,0.0138,10,3,Kurtosis|StdDev|SpectralCentroid,71552.3596,5604.1317,3,0.3295,0.6625,0.3033,0.2523,0.2015,0.8047,0.7608
20,0,0.0131,3,2,Kurtosis|StdDev,172123.5533,574.4571,2,0.0226,0.5826,0.3360,0.0191,0.0343,0.7467,0.4239
21,0,0.0115,9,3,Kurtosis|StdDev|SpectralCentroid,75065.2992,5082.8115,3,0.3236,0.6251,0.3249,0.2089,0.2716,0.8936,0.6135
22,0,0.0114,9,3,Kurtosis|StdDev|SpectralCentroid,92166.0582,3395.9687,3,0.3652,0.6427,0.1243,0.4150,0.3094,0.8174,0.5282
23,0,0.0107,8,2,Kurtosis|StdDev,87737.7030,5179.9861,2,0.1873,0.6329,0.2316,0.3703,0.3282,0.7815,0.3199
24,0,0.0105,10,2,Kurtosis|StdDev,84222.4930,8799.7282,2,0.3710,0.5667,0.4876,0.1516,0.2329,0.5383,0.3647
25,0,0.0105,9,5,Kurtosis|Skewness|PeakToPeak|StdDev|SpectralCentroid,85990.9082,2224.7948,5,0.1590,0.9935,0.7994,0.2227,0.7345,0.9874,0.7190
26,0,0.0105,10,3,Kurtosis|StdDev|SpectralCentroid,73551.6328,5336.0417,3,0.3295,0.7251,0.3249,0.2085,0.2716,0.8244,0.7621
27,0,0.0101,4,3,Kurtosis|StdDev|SpectralCentroid,165754.8664,442.0524,3,0.1940,0.5024,0.0628,0.0260,0.3619,0.9419,0.5230
28,0,0.0099,4,5,Kurtosis|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,163237.8037,684.3444,5,0.0304,0.5625,0.3301,0.5640,0.5273,0.7880,0.6452
29,0,0.0099,9,2,Kurtosis|StdDev,84520.0820,8541.6155,2,0.2413,0.5866,0.4451,0.1117,0.2329,0.5908,0.4319
30,0,0.0097,2,2,RMS|StdDev,213685.2708,85.2075,2,0.7590,0.1061,0.2775,0.1011,0.2578,0.3172,0.0381
31,0,0.0097,9,3,Kurtosis|StdDev|SpectralCentroid,89707.8126,3665.2865,3,0.1633,0.6014,0.3213,0.1977,0.4146,0.7836,0.6114
32,0,0.0094,8,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,97058.2827,1763.0067,5,0.9453,0.6004,0.7714,0.2196,0.1132,0.8961,0.7674
33,0,0.0091,10,5,Kurtosis|Skewness|CrestFactor|StdDev|SpectralCentroid,67222.5351,3514.8448,5,0.4571,0.5839,0.8591,0.5826,0.3738,0.9017,0.7072
34,0,0.0090,4,5,RMS|Kurtosis|CrestFactor|StdDev|SpectralCentroid,141520.8576,906.9976,5,0.6486,0.5080,0.3903,0.7665,0.3264,0.8003,0.5190
35,0,0.0090,3,3,Kurtosis|CrestFactor|PeakToPeak,154824.3378,843.8528,3,0.0508,0.5641,0.1299,0.6957,0.8103,0.3192,0.0024
36,0,0.0087,9,2,Kurtosis|StdDev,102586.5164,4870.1079,2,0.3217,0.7558,0.3611,0.1974,0.1392,0.8137,0.3091
37,0,0.0087,9,4,Kurtosis|Skewness|StdDev|SpectralCentroid,82194.1920,2593.5631,4,0.4296,0.7300,0.6211,0.2674,0.3440,0.9940,0.6215
38,0,0.0086,6,4,Kurtosis|PeakToPeak|StdDev|SpectralCentroid,121981.1573,1214.6841,4,0.2801,0.5117,0.4923,0.1104,0.5603,0.7459,0.5723
39,0,0.0085,3,3,Kurtosis|StdDev|SpectralCentroid,209071.5176,112.0425,3,0.0529,0.5468,0.2181,0.3835,0.1358,0.8006,0.5035
40,0,0.0085,3,2,Kurtosis|StdDev,175206.9135,466.4734,2,0.1930,0.4471,0.3529,0.0256,0.0333,0.7467,0.4239
41,0,0.0081,9,2,Kurtosis|StdDev,100399.6974,4939.1734,2,0.3217,0.7556,0.2621,0.1974,0.3257,0.7832,0.3091
42,0,0.0080,9,4,RMS|Kurtosis|Skewness|SpectralCentroid,81090.1931,2860.7829,4,0.7947,0.7113,0.7603,0.4638,0.2422,0.0079,0.5940
43,0,0.0080,5,6,RMS|Kurtosis|Skewness|CrestFactor|StdDev|SpectralCentroid,138263.0948,955.8456,6,0.7872,0.5595,0.6959,0.7116,0.3661,0.8998,0.5041
44,0,0.0080,5,4,Kurtosis|CrestFactor|StdDev|SpectralCentroid,113571.9794,1363.3071,4,0.1073,0.5109,0.3115,0.9801,0.3606,0.9491,0.5448
45,0,0.0080,3,2,Kurtosis|StdDev,196562.0469,167.8310,2,0.2677,0.6159,0.2889,0.1123,0.2792,0.6620,0.4549
46,0,0.0079,3,3,Kurtosis|CrestFactor|StdDev,176759.2268,365.4917,3,0.0145,0.5262,0.2202,0.6447,0.0352,0.8021,0.4249
47,0,0.0077,10,3,Kurtosis|StdDev|SpectralCentroid,70448.0420,6025.6500,3,0.3347,0.6376,0.3613,0.3027,0.2560,0.8049,0.7601
48,0,0.0077,10,5,Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,62989.5434,4157.9944,5,0.3232,0.0213,0.5996,0.8561,0.6948,0.9328,0.7850
49,0,0.0076,5,2,RMS|Kurtosis,106874.7114,3476.1448,2,0.7548,0.6518,0.2328,0.4090,0.3848,0.2313,0.2284
50,0,0.0075,4,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,157856.6635,770.0655,6,0.0013,0.7480,0.5489,0.5850,0.8830,0.5325,0.9925
51,0,0.0073,9,4,RMS|Kurtosis|Skewness|SpectralCentroid,106863.5006,1958.0472,4,0.8946,0.6746,0.7811,0.3999,0.3258,0.0036,0.6188
52,0,0.0073,10,5,Kurtosis|Skewness|CrestFactor|StdDev|SpectralCentroid,58434.9029,4418.3508,5,0.3447,0.5800,0.5222,0.8945,0.1880,0.9140,0.5544
